Assam,868,869,896,910,923,935,958,,Sex Ratio
Bihar,1000,1005,957,948,907,919,918,,Sex Ratio
Chandigarh,781,652,749,769,790,777,818,,Sex Ratio
Chhattisgarh,1024,1008,998,996,985,989,991,,Sex Ratio
Delhi,768,785,801,808,827,821,868,,Sex Ratio
Goa,1128,1066,981,975,967,961,973,,Sex Ratio
Gujarat,952,940,934,942,934,920,919,,Sex Ratio
Harya,871,868,867,870,865,861,879,,Sex Ratio
Himachal Pradesh,912,938,958,973,976,968,972,,Sex Ratio
Jammu & Kashmir,873,878,878,892,896,892,889,,Sex Ratio
Jharkhand,961,960,945,940,922,941,949,,Sex Ratio
Kartaka,966,959,957,963,960,965,973,,Sex Ratio
Kerala,1028,1022,1016,1032,1036,1059,1084,,Sex Ratio
Lakshadweep,21,24,32,40,52,61,64,66,Total Population
Madhya Pradesh,945,932,920,921,912,919,931,,Sex Ratio
Maharashtra,941,936,930,937,934,922,929,,Sex Ratio
Manipur,1036,1015,980,971,958,978,992,,Sex Ratio
Meghalaya,949,937,942,954,955,972,989,,Sex Ratio
Mizoram,1041,1009,946,919,921,935,976,,Sex Ratio
galand,999,933,871,863,886,900,931,,Sex Ratio
Odisha,1022,1001,988,981,971,972,979,,Sex Ratio
Puducherry,1030,1013,989,985,979,1001,1037,,Sex Ratio
Punjab,844,854,865,879,882,876,895,,Sex Ratio
Rajasthan,921,908,911,919,910,921,928,,Sex Ratio
Sikkim,907,904,863,835,878,875,890,,Sex Ratio
Tamil du,1007,992,978,977,974,987,996,,Sex Ratio
Tripura,904,932,943,946,945,948,960,,Sex Ratio
Uttar Pradesh,908,907,876,882,876,898,912,,Sex Ratio
Uttarakhand,940,947,940,936,936,962,963,,Sex Ratio
West Bengal,865,878,891,911,917,934,950,,Sex Ratio
Andaman & Nicobar Island,30.3,40.07,51.15,63.19,73.02,81.3,86.27,,Literacy Rate
Andhra Pradesh,,21.19,24.57,35.66,44.08,60.47,67.66,,Literacy Rate
Aruchal Pradesh,,7.13,11.29,25.55,41.59,54.34,66.95,,Literacy Rate
Assam,18.53,32.95,33.94,,52.89,63.25,73.18,,Literacy Rate
Bihar,13.49,21.95,23.17,32.32,37.49,47,63.82,,Literacy Rate
Chandigarh,,,70.43,74.8,77.81,81.94,86.43,,Literacy Rate
Chhattisgarh,9.41,18.14,24.08,32.63,42.91,64.66,71.04,,Literacy Rate
Lakshadweep,21,24,32,22,23,34,14,,Population in Rural Area
Lakshadweep,,,,19,29,27,50,,Population in Urban Area
Delhi,,61.95,65.08,71.94,75.29,81.67,86.34,,Literacy Rate
Goa,23.48,35.41,51.96,65.71,75.51,82.01,87.4,,Literacy Rate
Gujarat,21.82,31.47,36.95,44.92,61.29,69.14,79.31,,Literacy Rate
Harya,,,25.71,37.13,55.85,67.91,76.64,,Literacy Rate
Himachal Pradesh,,,,,63.86,76.48,83.78,,Literacy Rate
Jammu & Kashmir,,12.95,21.71,30.64,,55.52,68.74,,Literacy Rate
Jharkhand,12.93,21.14,23.87,35.03,41.39,53.56,67.63,,Literacy Rate
Kartaka,,29.8,36.83,46.21,56.04,60.47,75.6,,Literacy Rate
Kerala,47.18,55.08,69.75,78.85,89.81,90.86,93.91,,Literacy Rate
Lakshadweep,,14.61,31.95,26.53,28.47,17.3,6.23,,Decadal Growth
Madhya Pradesh,13.16,21.41,27.27,38.63,44.67,63.74,70.63,,Literacy Rate
Maharashtra,27.91,35.08,45.77,57.24,64.87,76.88,82.91,,Literacy Rate
Manipur,12.57,36.04,38.47,49.66,59.89,69.93,79.85,,Literacy Rate
Meghalaya,,26.92,29.49,42.05,49.1,62.56,75.48,,Literacy Rate
Mizoram,31.14,44.01,53.8,59.88,82.26,88.8,91.58,,Literacy Rate
galand,10.52,21.95,33.78,50.28,61.65,66.59,80.11,,Literacy Rate
Odisha,15.8,21.66,26.18,33.62,49.09,63.08,73.45,,Literacy Rate
Puducherry,,43.65,53.38,65.14,74.74,81.24,86.55,,Literacy Rate
Punjab,,,34.12,43.37,58.51,69.65,76.68,,Literacy Rate
Rajasthan,8.5,18.12,22.57,30.11,38.55,60.41,67.06,,Literacy Rate
Sikkim,,,17.74,34.05,56.94,68.81,82.2,,Literacy Rate
Tamil du,,36.39,45.4,54.39,62.66,73.45,80.33,,Literacy Rate
Tripura,,20.24,30.98,50.1,60.44,73.19,87.75,,Literacy Rate
Uttar Pradesh,12.02,20.87,23.99,32.65,40.71,56.27,69.72,,Literacy Rate
Uttarakhand,18.93,18.05,33.26,46.06,57.75,71.62,79.63,,Literacy Rate
West Bengal,24.61,34.46,38.86,48.65,57.7,68.64,77.08,,Literacy Rate
Andaman & Nicobar Island,4,8,14,23,34,43,46,46,density
Andhra Pradesh,113,131,158,195,242,277,308,308,density
Aruchal Pradesh,,4,6,8,10,13,17,17,density
Assam,102,138,186,230,286,340,398,398,density
Bihar,309,370,370,555,685,881,1106,1106,density
